序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
73,29F1A725-7DC3-4EE2-8209-ED557D99FFE4_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/29F1A725-7DC3-4EE2-8209-ED557D99FFE4_big.jpg,CA死妈,2026年03月30日 16:13,"上海北外滩金辉索菲特 行政大床
免房券换的",0,
74,D0E100C3-BACE-40B2-BD43-7564539A31A5_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D0E100C3-BACE-40B2-BD43-7564539A31A5_big.jpg,CA死妈,2026年03月30日 02:40,上海雅居乐万豪侯爵 家庭套,0,
75,87112E24-06B9-4ABB-8562-AF9ECBECD815_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/87112E24-06B9-4ABB-8562-AF9ECBECD815_big.jpg,CA死妈,2026年03月30日 02:40,上海雅居乐万豪侯爵 家庭套,0,
76,0076AFEE-4384-4486-AFAD-C3312D8531DB_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/0076AFEE-4384-4486-AFAD-C3312D8531DB_big.jpg,CA死妈,2026年03月30日 02:40,上海雅居乐万豪侯爵 家庭套,0,
77,1645C603-403F-452F-9FBC-09E0A012EAD8_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1645C603-403F-452F-9FBC-09E0A012EAD8_big.jpg,CA死妈,2026年03月30日 02:40,上海雅居乐万豪侯爵 家庭套,0,
78,6DB866FF-DDC7-4752-AC12-AB1B054F8B58_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6DB866FF-DDC7-4752-AC12-AB1B054F8B58_hd.jpg,JL死吗,2026年03月28日 20:13,"伦敦骑士桥豪华精选
订的基础房自动升级的行政房间
酒店很贴心啊，知道我住不起文华东方，给了我一个能看清楚酒店全貌的房间。",0,
79,4D350217-9DF9-43BA-8F54-420F1F4A9E45_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/4D350217-9DF9-43BA-8F54-420F1F4A9E45_hd.jpg,JL死吗,2026年03月28日 20:13,"伦敦骑士桥豪华精选
订的基础房自动升级的行政房间
酒店很贴心啊，知道我住不起文华东方，给了我一个能看清楚酒店全貌的房间。",0,
80,1517B657-F302-4251-B2BF-0909D4B9066E_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1517B657-F302-4251-B2BF-0909D4B9066E_hd.jpg,JL死吗,2026年03月28日 20:13,"伦敦骑士桥豪华精选
订的基础房自动升级的行政房间
酒店很贴心啊，知道我住不起文华东方，给了我一个能看清楚酒店全貌的房间。",0,
81,6DEE37B8-362E-41E7-B93D-92DEC47D1059_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6DEE37B8-362E-41E7-B93D-92DEC47D1059_hd.jpg,JL死吗,2026年03月28日 20:13,"伦敦骑士桥豪华精选
订的基础房自动升级的行政房间
酒店很贴心啊，知道我住不起文华东方，给了我一个能看清楚酒店全貌的房间。",0,
82,5C0E8055-6378-4639-8880-2CC312AEFF43_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/5C0E8055-6378-4639-8880-2CC312AEFF43_hd.jpg,JL死吗,2026年03月28日 20:13,"伦敦骑士桥豪华精选
订的基础房自动升级的行政房间
酒店很贴心啊，知道我住不起文华东方，给了我一个能看清楚酒店全貌的房间。",0,
83,6BB9EF3E-A9AB-4939-B28A-412A9B174BDB_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6BB9EF3E-A9AB-4939-B28A-412A9B174BDB_big.jpg,Hilton 死吗| Pend,2026年03月27日 20:55,"杭州希尔顿逸林
酒廊结束的第二分钟打来电话
很抱歉先生这边给您要饭了个酒廊前台同事忘告诉你了这边给您送了小水果打发你
😀😀😀😀",0,
84,A367F40F-0B3A-4390-B956-CF74BC154D45_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/A367F40F-0B3A-4390-B956-CF74BC154D45_big.jpg,Hilton 死吗| Pend,2026年03月27日 20:55,"杭州希尔顿逸林
酒廊结束的第二分钟打来电话
很抱歉先生这边给您要饭了个酒廊前台同事忘告诉你了这边给您送了小水果打发你
😀😀😀😀",0,
85,67B5E6A6-1478-43F6-8478-BB746059FDAA_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/67B5E6A6-1478-43F6-8478-BB746059FDAA_big.jpg,Hilton 死吗| Pend,2026年03月27日 20:55,"杭州希尔顿逸林
酒廊结束的第二分钟打来电话
很抱歉先生这边给您要饭了个酒廊前台同事忘告诉你了这边给您送了小水果打发你
😀😀😀😀",0,
86,F0DF81A7-BE7F-41FF-A9FB-E1C303D495E3_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/F0DF81A7-BE7F-41FF-A9FB-E1C303D495E3_hd.jpg,JL死吗,2026年03月23日 00:39,"Manchester Marriott Victoria & Albert Hotel

要饭成功，从基础房升级到了普通套房
唯一的问题可能是房间挑高有问题（我胳膊伸直了可以碰到天花板），感觉空间有点逼仄",0,
87,53D9AC3B-EE7E-4C42-8327-EF00BBB5202C_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/53D9AC3B-EE7E-4C42-8327-EF00BBB5202C_hd.jpg,JL死吗,2026年03月23日 00:39,"Manchester Marriott Victoria & Albert Hotel

要饭成功，从基础房升级到了普通套房
唯一的问题可能是房间挑高有问题（我胳膊伸直了可以碰到天花板），感觉空间有点逼仄",0,
88,249F08CB-073F-47B8-A255-B4AC5D0BC21C_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/249F08CB-073F-47B8-A255-B4AC5D0BC21C_hd.jpg,JL死吗,2026年03月23日 00:39,"Manchester Marriott Victoria & Albert Hotel

要饭成功，从基础房升级到了普通套房
唯一的问题可能是房间挑高有问题（我胳膊伸直了可以碰到天花板），感觉空间有点逼仄",0,
89,45D5C850-86C1-40D4-9037-1BB1B664011A_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/45D5C850-86C1-40D4-9037-1BB1B664011A_hd.jpg,JL死吗,2026年03月23日 00:39,"Manchester Marriott Victoria & Albert Hotel

要饭成功，从基础房升级到了普通套房
唯一的问题可能是房间挑高有问题（我胳膊伸直了可以碰到天花板），感觉空间有点逼仄",0,
90,D790315B-825D-48AD-A9B1-CB92DD010E69_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D790315B-825D-48AD-A9B1-CB92DD010E69_hd.jpg,JL死吗,2026年03月23日 00:39,"Manchester Marriott Victoria & Albert Hotel

要饭成功，从基础房升级到了普通套房
唯一的问题可能是房间挑高有问题（我胳膊伸直了可以碰到天花板），感觉空间有点逼仄",0,
91,A64D0B9F-7BD1-4765-9CA3-6EC3632B397E_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/A64D0B9F-7BD1-4765-9CA3-6EC3632B397E_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:59,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
92,799B1944-D352-46BA-9470-13F8EF46A046_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/799B1944-D352-46BA-9470-13F8EF46A046_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:59,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
93,8E0F3890-07C7-4F1C-8076-47CBAC225D50_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/8E0F3890-07C7-4F1C-8076-47CBAC225D50_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:59,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
94,84766132-9565-48C3-BD06-6ED13F84FA39_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/84766132-9565-48C3-BD06-6ED13F84FA39_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:59,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
95,41279137-21E1-40FD-9414-52E0310B3016_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/41279137-21E1-40FD-9414-52E0310B3016_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:58,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
96,4CE06F25-76F1-40B2-AF17-C97C275C737C_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/4CE06F25-76F1-40B2-AF17-C97C275C737C_big.jpg,弦卷心的Tourbillon Sm,2026年03月22日 23:58,"马歇尔音响还行，公区可以，景相对可以但没什么感觉，看塔还行。
看完东萝，东京各种酒店打卡ing
采用电车不算方便，打车方便，虽然机缘巧合靠海鸥线，但不能subway pass
早餐普通，使用lelabo，感觉对应虎之门edition",0,
97,14E4E52D-D203-492A-8264-8F40A05E6EA8_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/14E4E52D-D203-492A-8264-8F40A05E6EA8_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
98,14A6AEE6-37D0-4545-BA78-58E4BE7C4E0B_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/14A6AEE6-37D0-4545-BA78-58E4BE7C4E0B_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
99,1AA910DF-A2B1-48E7-A6DF-1EEBFECC4240_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1AA910DF-A2B1-48E7-A6DF-1EEBFECC4240_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
100,E336DD7A-5816-4280-8007-301AC65CFABF_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/E336DD7A-5816-4280-8007-301AC65CFABF_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
101,7171A569-648A-4EDA-AF9B-964929B01BBD_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/7171A569-648A-4EDA-AF9B-964929B01BBD_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
102,8BBF8209-3C6B-4ABB-BB87-ABDA3959D90E_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/8BBF8209-3C6B-4ABB-BB87-ABDA3959D90E_big.jpg,番茄奶龙,2026年04月05日 21:35,芜湖逸林套房,0,
103,BF06F318-A63B-4BF7-9D92-AD87AD6BAB70_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/BF06F318-A63B-4BF7-9D92-AD87AD6BAB70_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
104,D8BF5DAA-5FD1-4AD1-918E-53AD17AE8E43_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D8BF5DAA-5FD1-4AD1-918E-53AD17AE8E43_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
105,E2242570-11B8-49D2-8314-6C9479B128CF_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/E2242570-11B8-49D2-8314-6C9479B128CF_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
106,FCB2E22F-D8DC-4C58-B620-B5D22E972173_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/FCB2E22F-D8DC-4C58-B620-B5D22E972173_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
107,1DFC6237-5632-48A6-AADE-13B005195C58_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1DFC6237-5632-48A6-AADE-13B005195C58_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
108,410121E6-F453-4F4F-8CA8-74EAF41CEBBC_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/410121E6-F453-4F4F-8CA8-74EAF41CEBBC_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
109,98C87E68-DA9B-4154-958D-2967B222133B_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/98C87E68-DA9B-4154-958D-2967B222133B_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
110,279F04F4-F786-47F0-AF6B-188F7EEF8826_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/279F04F4-F786-47F0-AF6B-188F7EEF8826_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:03,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
111,D10F0820-55F4-4C9C-BFAC-EC58CED7B9CB_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D10F0820-55F4-4C9C-BFAC-EC58CED7B9CB_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:04,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
112,971E13EB-12D3-48A3-8011-A3DD7F55EFF1_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/971E13EB-12D3-48A3-8011-A3DD7F55EFF1_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:04,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
113,3A2CFA26-3347-415C-960D-57971D60BEE4_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3A2CFA26-3347-415C-960D-57971D60BEE4_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:04,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
114,D385CB12-09E1-4E7F-96DF-355420203DE5_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D385CB12-09E1-4E7F-96DF-355420203DE5_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:04,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
115,3B42C27C-C174-4630-BA44-D97CD67DBAB6_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3B42C27C-C174-4630-BA44-D97CD67DBAB6_hd.jpg,希思罗T5 Domestic死吗,2026年04月05日 23:04,"Kimpton Fitzroy London
非常好的装修，非常专业的礼宾。
夯",0,
116,361107F1-0AE3-4509-9026-38D8949F0A70_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/361107F1-0AE3-4509-9026-38D8949F0A70_big.jpg,1,2026年04月06日 18:46,青岛瑞吉,0,
117,30CC7F15-CD18-4927-8929-F4D1CCAFCDB9_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/30CC7F15-CD18-4927-8929-F4D1CCAFCDB9_big.jpg,1,2026年04月06日 18:46,青岛瑞吉,0,
118,610F01B2-D4BB-4C66-8D8B-B10F4A0684FB_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/610F01B2-D4BB-4C66-8D8B-B10F4A0684FB_big.jpg,1,2026年04月06日 18:46,青岛瑞吉,0,
119,9D4493D6-5941-45B3-AC67-1354E3314C69_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/9D4493D6-5941-45B3-AC67-1354E3314C69_big.jpg,1,2026年04月06日 18:46,青岛瑞吉,0,
120,D6D34E4D-07A3-46EA-9958-BDF38506C09B_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D6D34E4D-07A3-46EA-9958-BDF38506C09B_big.jpg,1,2026年04月06日 18:46,青岛瑞吉,0,
121,57933682-F632-4816-811A-AC5B3F9C18A8_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/57933682-F632-4816-811A-AC5B3F9C18A8_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
122,96920876-B7E1-4086-BF06-04E2EAE3CA4D_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/96920876-B7E1-4086-BF06-04E2EAE3CA4D_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
123,A952223A-CD05-41ED-A107-DA25F915BE00_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/A952223A-CD05-41ED-A107-DA25F915BE00_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
124,50D52D0C-762D-43DA-A0CF-853D9F85CD2B_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/50D52D0C-762D-43DA-A0CF-853D9F85CD2B_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
125,02963A7F-A451-4010-84F9-74C7FA2E9387_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/02963A7F-A451-4010-84F9-74C7FA2E9387_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
126,4E9A4DF6-9294-406A-AEA7-66FE09DE4C55_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/4E9A4DF6-9294-406A-AEA7-66FE09DE4C55_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
127,B0B72500-B566-4C63-9A1F-44706E006B26_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/B0B72500-B566-4C63-9A1F-44706E006B26_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
128,056DD065-AF4B-405F-BE52-0DFCC98B2529_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/056DD065-AF4B-405F-BE52-0DFCC98B2529_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
129,93A49917-F3E9-4C89-A5A9-72D47A204338_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/93A49917-F3E9-4C89-A5A9-72D47A204338_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
130,0862A2A3-554A-4A02-A195-470E0B699F5B_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/0862A2A3-554A-4A02-A195-470E0B699F5B_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
131,3199E1E1-AA27-4AFF-8DA8-E642AADD6C9D_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3199E1E1-AA27-4AFF-8DA8-E642AADD6C9D_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
132,72B6E32A-B3A3-4D05-AA79-5DF77B52E4B8_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/72B6E32A-B3A3-4D05-AA79-5DF77B52E4B8_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
133,3CC6BF99-FC1F-4056-B92C-CB6CD858F932_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3CC6BF99-FC1F-4056-B92C-CB6CD858F932_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
134,046B0EC4-A694-4634-9855-6818683E61A7_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/046B0EC4-A694-4634-9855-6818683E61A7_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
135,85EBA6A8-2672-4119-8684-9BF36D6E5AB0_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/85EBA6A8-2672-4119-8684-9BF36D6E5AB0_big.jpg,弦卷心的Tourbillon Sm,2026年04月07日 21:27,"东京fufuふふ
东京旗舰，体感比hoshinoya好，在东京银座这个位置能有如此大的房间，Chanel旁边HW楼上，最小60最大180，总共34间房，简直了。
并且小零食，类似酒廊都顶层酒吧都很不错…虽然看得出来没有什么做高端酒店的经验，但是总体来说给的各种无限量可薅零食和备品的水平，还是毫不吝啬，每日从热海的運び湯也是卖点。",0,
